[00:00:00 - 00:01:00] | О. Хархордин | Спасибо. Сразу на все три вопроса отвечать?
[00:01:00 - 00:02:00] | И. Фрумин | Компактно.
[00:02:00 - 00:03:00] | О. Хархордин | Хорошо. Откуда мы знаем, что мы лидеры? Наш ответ очень простой: это интернационализация. Мы возникли как университет, вписанный в международный научный рынок, и пытаемся держать эти позиции и захватывать новые. Приведу три показателя — наверное, которые очень простых. Мы — первый университет в России, который подписал совместную программу на уровне PhD с Панъевропейским университетом по гуманитарным наукам: есть в дополнение к Европейскому парламенту и Европейской комиссии университет, который финансируется министерствами образования 17 европейских стран, и у нас впервые не на уровне магистерском и не на уровне бакалавриата, есть программа joint PhD. Я думаю, что это достаточно амбициозное предприятие: студенты учатся и здесь, и там, а потом вместе защищают диссертацию перед совместным диссертационным комитетом. Второе — это то, что у нас есть уже три магистерские программы, на которых мы учим международных студентов, причем учим не русскому языку (этому мы их специально не учим — вернее, учим, если они хотят), а учим политологии, социологии, cultural studies. Последняя программа, которую мы открыли в этом году, называется Energy Politics in Eurasia. Tuition там — 17 тысяч долларов, и после соревнований мы приняли 15 человек. Это очень хорошо для раскрутки первоначальной программы. Вообще среди студентов у нас половина — американцы, для которых мы привлекательны, потому что мы гораздо дешевле, чем, например, MIT, хотя в отношении того, что мы преподаем в применении к России, мы, наверное, лучше, чем MIT. Поэтому понятно, куда ехать. Теперь скажу о том, что мы делаем для общества в целом: это я понял нынешней осенью, когда увидел перелив представления о меритократии на то, что происходило на улице. Это не есть наша функция, и мы — академическое заведение, которое очень долго занимало позицию «башни из слоновой кости»: оно чаще всего совершенно не думает о более широком обществе, а думает о том, как развивать науку и как реализовывать научный продукт. Но сама система подготовки людей, которые считают, что меритократия — главная ценность, что главное — это честная игра, в которой можно выиграть, если у тебя есть вклад и заслуги... Это понятие fair play оказывается очень важной составляющей: мы просто готовим честных людей. Это звучит, возможно, несколько возвышенно в нашем обществе, которое не любит громких слов, и правильно не любит, но в ситуации, когда мы чаще всего не подчеркиваем моральные императивы, честность науки превращается в требование честности везде в жизни. Подъем общественной активности с декабря по март — отчасти следствие того, что люди не хотят, чтобы правила игры ставились под вопрос и нарушались. Также, неожиданно для себя, оказались востребованы наши политологи, которые впервые были вынуждены перевести свой сухой научный язык на язык публичной политики: например, они издали пару книжек, которые сейчас популярны, для того чтобы объяснить, что происходит. Или неожиданно человек, который сидел, как ему казалось, в группе городских сумасшедших, занимался включенным наблюдением развития группы, которая никуда не шла в своих требованиях обычного радикализма, унаследовал «Живой город», который за три года остановил строительство Газпром-башни — по крайней мере, поставил вопрос перед Путиным и Медведевым, которые в конце концов приняли это решение. То есть мы что-то делаем и для обширного общества, и лидерство, наверное, выражается не только в интернационализации, но в связке интернационализации с проблемой того города и той страны, где живешь. Спасибо.
[00:03:00 - 00:04:00] | И. Фрумин | Можно ли сказать, что то, что вы выходите за рамки просто университета, что вы не только хорошо учите, является одним из драйверов вашего развития?
[00:04:00 - 00:05:00] | О. Хархордин | Я бы, честно говоря, не хотел так думать, потому что наша задача — действительно построить хороший университет. Если есть побочные функции — это то, что называется unintended consequence.
[00:05:00 - 00:06:00] | И. Фрумин | У меня был третий вопрос — Вы про него забыли. Очень коротко, может быть. Идея этих двойных PhD программ проста, но почему вы единственные (или таких вузов совсем мало), кто это делает? Казалось бы, тут нет ничего хитрого.
[00:06:00 - 00:07:00] | О. Хархордин | Во-первых, в России PhD не существует как степень: у нас кандидатские и докторские. То есть для того, чтобы завести двойную программу, надо иметь нужный набор практик — таких, как, например, существующие в Америке программы PhD, то есть два года обучения, сдача трех дисциплинарных экзаменов, защита диссертационного проспектуса, два года в поле, и только потом ты начинаешь отчитываться перед диссертационным комитетом. В Европе вëс побыстрее. Во Флоренции в European University Institute, с которым мы это сделали, — четыре года, в отличие от американских шести— семи. Позавчера мы разговаривали с Эдом Кроули, и ясно, что они скоро введут PhD, потому что им торговать кандидатскими не пристало. Когда будет больше университетов, ведущих образовательный набор практик, которые копируют структуру программ PhD, тогда можно будет и объединяться. Просто у нас это есть, а у других нет.
[00:07:00 - 00:08:00] | И. Фрумин | Спасибо! Я попрошу теперь дать ответ на аналогичные вопросы ректора одного из крупнейших государственных университетов. Владимир Васильев 17 лет руководит институтом, который, я еще помню, назывался Ленинградский институт точной механики и оптики и был «заточен» на высокотехнологичную оборонную промышленность. Сегодня (я думаю, что Владимиру Николаевичу уже надоело это слушать) одной из визитных карточек этого университета является тот незатейливый факт, что его студенты постоянно с каким-то странным упорством побеждают на всемирных олимпиадах по программированию. Это большой развивающийся университет, который на фоне общего снижения интереса к инженерным профессиям умудряется сохранять динамику и энергетику. За счет чего? Расскажите, пожалуйста, о своем университете, Владимир Николаевич.
[00:08:00 - 00:09:00] | В. Васильев | В отличие от Олега, моего коллеги и друга, у меня действительно технический университет. У меня нет так называемых востребованных специальностей — юриспруденции, государственного и муниципального управления, бухучета и так далее. Поэтому мы работаем в тех областях, в которых работали, с одной стороны, традиционно и, с другой стороны, не очень традиционно. Я начну с первого вопроса: в чем мы видим — как я вижу, представляю себе — успех нашего теперь Университета информационных технологий, механики и оптики. Аббревиатуру мы сократили и сохранили, как вы обратили внимание, а название чуть поменялось, и за этим стоит содержание. Я думаю, что ключевое слово — это изменение, постоянное изменение, притом изменение не ради изменения, а поскольку это диктует наш быстро меняющийся мир: и потоки информации, и изменения технологий, и изменения в социальной сфере. Поэтому университет, на мой взгляд, должен меняться — меняться, но сохранять нормальную базовую подготовку, на которой бы все это базировалось. К сожалению, многие высшие учебные заведения — я перескакиваю, может быть, на третий вопрос — сохраняют очень хорошую историю, держатся за эту историю, что, конечно, важно, но, если это ставится во главу угла, и не отходит никуда в сторону... Вот у нас были научные школы, мы создавали в 50-х и в 60- х годах нашу высочайшую инженерную школу, и нужно это сохранить. Мне кажется, здесь надо все-таки чуть-чуть рисковать и даже не идти по нормальным дорожным картам. У нас в университете есть специальная структура, которая занимается форсайтами, обычными дорожными картами, но надо бежать и по некоторым диким дорожным картам, которые, вполне вероятно, могут и не сбыться, но заставляют думать. Ноó бльшую опасность, как мне кажется, представляет даже не такая стабильность сохранения, а конформизм — то, что мы в университете просто не приемлем, потому что если конформизм, определенное приспособленчество, выходит во главу угла, то это ведет всë к серьезному затуханию. Поэтому мне кажется, что, если за основу полагаются две таких целевых функции и задачи профессорско- преподавательского состава, тогда за лидерами другие вузы не идут. Третий очень важный момент: мне кажется, что надо абсолютно точно понимать, что университет — это не закрытая система. Если система закрыта: и техническая, и социальная, и биологическая — она всегда идет к коллапсированию. Чем больше она открывается, тем больше она идет к самоорганизации — к изменениям, но к самоорганизации. А если это так, то понятно, что мы не вытянем (и у нас в университете этого нет) только на своем профессорско-преподавательском составе. Мы должны привлекать лучших педагогов и лучшие практики из вузов Санкт-Петербурга. В некоторых дисциплинах — например, в области ИКТ или в области фотоники — есть всего два человека, которые в Питере могут преподавать ряд дисциплин на высоком уровне, или по одному человеку на дисциплину. Следовательно, надо их привлечь. Есть компетенции, которыми мы не обладаем — вообще практически не обладаем в России. Следовательно, надо забирать эти компетенции и приглашать профессорско-преподавательский состав. Притом 220-е постановление не обязательно. Может помогать и бизнес. В качестве примера открытой системы могу привести следующее: есть одна небольшая московская компания с капитализацией, по-моему, сейчас восемь миллиардов долларов — Mail.Ru Group. Они создали у нас кафедру, заведующим которой стал генеральный директор Гришин, и финансируют приглашенных преподавателей, которых мы взяли. Кстати, Исак, стоит отметить не только область программирования: я имею в виду чемпионаты мира по программированию, где у нас действительно серьезный результат, причем эти ребята потом добиваются определенных успехов и в коммерческих или в научных областях. Два маленьких примера. Один пример: Сашка Штучкин, Жора Ижаков и Федя Царев, ставшие чемпионами, по-моему, в 2003-м или 2004-м году, за полтора года написали программное обеспечение — первое в мире программное обеспечение для WiMax четвертого поколения 4G. Они все были руководителями компании «Скартел» — продукт известен под маркой Yota. Я могу приводить и другие примеры, которые подтверждают некоторые вещи. В отношении университетов: сегодня я уже говорил об этом с госпожой Зайцевой и сейчас хочу еще раз подчеркнуть с этой трибуны — мы не претендуем на все направления подготовки, мы должны сосредотачиваться в тех направлениях, в которых, мы считаем, есть сильные школы. Более того, если говорить о моем университете, мы просто сказали: мы будем заниматься только диффузными технологиями, то есть теми технологиями, которые проникают в большинство областей жизни. Это ИКТ: понятно, что сейчас ИКТ везде — в медицине, неважно где, не только в управлении. Это фотоника, потому что свет — везде, фотон — везде; и так далее. Это является приоритетом для нас, и там мы развиваемся. Спасибо.
[00:09:00 - 00:10:00] | И. Фрумин | Я задам один вопрос: правда ли, что вы перешли на электронный документооборот и что у вас студенты знают свои оценки из электронных ведомостей и так далее?
[00:10:00 - 00:11:00] | В. Васильев | Это действительно так: и не только студенты, но и родители. Родители тоже имеют доступ к обучению.
